MASTER_SERIES_ID,TITLE,SEAMLESS_CODE,SEAMLESS_FLAG,SERIES_TYPE,CP_CD,MCP_CD,SERS_ENDBRD_YN,VIRTUAL_DVD_FLAG,RATING,ADULT_CATEGORY_ONLY,GENRE_MAIN,SUB_GENRE,GENRE_DISPLAY,ORIGIN_TITLE,ORIGIN_TITLE_LANG,DIRECTOR,WRITER_DISPLAY,ACTORS_DISPLAY,SEASON_NO,SUBTITLE_DUBBED,SUBTITLE_DUBBED_LANG,BROAD_CHANNEL,BROAD_DAY,APPLIED_SCREEN,COUNTRY_OF_ORIGIN,YEAR,MULTI_CAPTION_FLAG,MULTI_CAPTION_INFO,MULTI_AUDIO_FLAG,MULTI_AUDIO_INFO,DESCRIPTION,NOTICE_DESCRIPTION
90000000010970,"늘, 다정하게",1,Y,01,52401,52401,N,N,4,N,050100,,1102,,,,,다정,1,,,기타,월,"TV,PHONE,PAD,PC",KOR,,N,,N,,"늘, 다정하게 만나요! 누구에게나 다정하게 다가가고 싶은 따뜻하고 감성적인 일상! 다정한 하루 일상이 공개됩니다.",
90000000012911,독립만세 (통큰),0,N,01,00461,00461,N,N,4,N,050100,,1102,,,,,"붐,김희철,송은이,악동뮤지션,재재",1,,,JTBC,월,"TV,PHONE,PAD,PC",KOR,,N,,N,,한 번도 혼자 살아보지 않았던 연예인이 생애 최초로 독립에 도전하는 새로운 형태의 관찰 예능 프로그램,
90000000011592,5등분의 신부 ∬,1,Y,01,00274,00274,Y,N,4,N,041500,,1404,,,,,,1,,,,화,"TV,PHONE,PAD,PC",KOR,,N,,N,,"[해당 시리즈는 매주 화요일에 업데이트 됩니다.]
낙제 직전에다 공부를 싫어하는 미소녀 다섯 쌍둥이를 아르바이트 가정교사로서 졸업 전까지 가르치",
90000000011601,천지창조 디자인부,1,Y,01,00118,00118,N,N,4,N,040700,,1403,,,,,,1,,,,화,"TV,PHONE,PAD,PC",KOR,,N,,N,,"[해당 시리즈는 매주 화요일에 업데이트 됩니다.]
빛, 물, 대지를 만들고 그리고, 거기에 살고 있는 생물을, 동물을 만들자라고 생각했지만, 귀찮아져서",
90000000012700,절세천금 완결편,0,N,01,52261,52261,N,N,4,N,030600,030500,1206,,4,린허롱,,"궁쥔,정치우홍,팡이룬,위카이닝",3,1,1,기타,수,"TV,PHONE,PAD,PC",CHN,2020,N,,N,,"[올레tv 선독점! 채널방송 종료 후, 당일 월~금요일에 업데이트 됩니다.]
게임 속에 남게 된 임낙경. 종무매와의 달콤한 시간도 잠시, 게임 속의 상황은 ",
90000000012903,당신의 일상을 밝히는가,1,Y,01,00524,00524,N,N,4,N,050100,,1102,,,"이은경,오미라,이주혜",,"박은혜,한영",1,,,기타,"월,화,수","TV,PHONE,PAD,PC",KOR,2020,N,,N,,트렌드세터라면 바로 여기! ‘좀 아는 언니’들이 챙겨보는 라이프 매거진 당신의 일상을 밝히는 가!,
90000000012940,약정기간애상니,1,Y,01,50007,50007,N,N,4,N,030600,,1206,,4,천스이,,"임언개,청샤오멍,썬줜,판이이",1,1,1,기타,금,"TV,PHONE,PAD,PC",CHN,,N,,N,,"[본 시리즈는 매주 화~토요일에 업데이트 될 예정입니다.]
대기업 집안의 가업을 물려받기 싫어하는 무명의 인터넷 소설 작가가 패도총재 스타일의 재",
90000000012960,아는 형님 (슈퍼팩),1,Y,01,00461,00461,N,N,4,N,050100,,1102,,,여운혁,,"강호동,이수근,김영철,서장훈,민경훈,김희철,이상민",1,,,JTBC,토,"TV,PHONE,PAD,PC",KOR,2018,N,,N,,인생을 살다보면 마주치게 되는 사소하지만 궁금해서 견딜 수 없는 시청자들의 질문에 다양한 방법으로 정답을 찾아본다.,
90000000011754,엔티비스튜디오의 자연풍경여행,1,Y,01,52401,52401,N,N,1,N,050100,,1102,,,,,,1,,,기타,월,"TV,PHONE,PAD,PC",KOR,,N,,N,,아름다운 자연 풍경으로 힐링하는 엔티비 스튜디오의 랜선 여행!,
90000000012613,다큐 인사이트,0,N,01,00033,00033,N,N,1,N,060000,,1103,,,,,,1,,,KBS1,목,"TV,PHONE,PAD",KOR,,N,,N,,정통 다큐의 맥을 유지하며 소재와 형식을 뛰어넘은 다큐멘터리의 즐거운 뒤집기 프로그램. 상상을 뛰어넘는 기발한 착상으로 삶의 소중함과 가치를 ,
90000000012600,빈센조,1,Y,01,00344,00344,N,N,4,N,030500,,1101,,,,,"송중기,전여빈,옥택연,유재명,김여진,곽동연,조한철",1,,,tvN,"토,일","TV,PHONE,PAD,PC",KOR,,N,,N,,조직의 배신으로 한국으로 오게 된 이탈리아 마피아 변호사가 베테랑 독종 변호사와 함께 악당의 방식으로 악당을 쓸어버리는 이야기,
90000000012742,서검은구록 2002,1,Y,01,00498,00498,N,N,4,N,030900,,1204,,4,"위한동,황위명",,"조문탁,소영하",1,1,1,기타,"월,화,수,목","TV,PHONE,PAD,PC",CHN,2002,N,,N,,"[본 시리즈는 매주 화~금요일에 업데이트 될 예정입니다.]
‘반청복명’을 목적으로 한 조직 홍화회의 우만정이 분뢰수 문태래와 함께 밤에 조정 궁에 ",
90000000012919,약정기간애상니 (사용 x),1,Y,01,50007,50007,N,N,4,N,030600,,1207,,4,천스이,,"임언개,청샤오멍,썬줜,판이이",1,1,4,기타,금,"TV,PHONE,PAD,PC",CHN,,N,,N,,"[본 시리즈는 매주 화~토요일에 업데이트 될 예정입니다.]
대기업 집안의 가업을 물려받기 싫어하는 무명의 인터넷 소설 작가가 패도총재 스타일의 재",
90000000011594,유루캠프 2,1,Y,01,00274,00274,N,N,3,N,041500,,1404,,,,,,1,,,,화,"TV,PHONE,PAD,PC",KOR,,N,,N,,"[해당 시리즈는 매주 화요일에 업데이트 됩니다.]
이것도 어느 겨울날의 이야기. 야마나시에 사는 여고생 시마 린은 애차를 타고 바로 하마나코로 향한",
90000000011595,약캐 토모자키 군,1,Y,01,00274,00274,Y,N,4,N,041500,,1404,,,,,,1,,,,화,"TV,PHONE,PAD,PC",KOR,,N,,N,,"[해당 시리즈는 매주 화요일에 업데이트 됩니다.]
토모자키 후미야는 일본 최고의 게이머지만 현실에서는 외톨이 고교생이다. '인생은 망겜이다'라고 ",
